,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,lowglucoseflux,highglucoseflux
0,,r_0001,(R)-lactate:ferricytochrome-c 2-oxidoreductase,(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c],1.1.2.4; 1.1.99.-,(YDL174C and YEL039C) or (YDL174C and YJR048W) or (YEL039C and YEL071W) or (YEL071W and YJR048W),,,,,kegg.reaction/R00197;metanetx.reaction/MNXR106428;sbo/SBO:0000176,sce00620  Pyruvate metabolism;sce00920  Sulfur metabolism,,,,2.0,0.0,0.0
1,,r_0002,(R)-lactate:ferricytochrome-c 2-oxidoreductase,(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m],1.1.2.4; 1.1.99.-,(YDL178W and YEL039C) or (YDL178W and YJR048W),,,,,kegg.reaction/R00197;metanetx.reaction/MNXR106428;sbo/SBO:0000176,sce00620  Pyruvate metabolism;sce00920  Sulfur metabolism,,,,2.0,0.0,0.0
2,,r_0003,"(R,R)-butanediol dehydrogenase","(R,R)-2,3-butanediol[c] + NAD[c] <=> (R)-acetoin[c] + H+[c] + NADH[c]",1.1.1.4,YAL060W,,,,,kegg.reaction/R02946;metanetx.reaction/MNXR107844;sbo/SBO:0000176,sce00650  Butanoate metabolism,,,,2.0,0.0,0.0
3,,r_0004,(S)-lactate:ferricytochrome-c 2-oxidoreductase,(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c],1.1.2.3,(YEL039C and YML054C) or (YJR048W and YML054C),,,,,kegg.reaction/R00196;metanetx.reaction/MNXR106427;sbo/SBO:0000176,sce00620  Pyruvate metabolism;sce00920  Sulfur metabolism,,,,2.0,0.0,0.0
4,,r_0005,"1,3-beta-glucan synthase",UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c],2.4.1.34,YGR032W or YMR306W or (YLR342W and YCR034W),,,,,kegg.reaction/R03118;metanetx.reaction/MNXR107959;pmid/7649185;sbo/SBO:0000176,sce00500  Starch and sucrose metabolism;sce04011  MAPK signaling pathway - yeast,,,7649185,3.0,0.13344882,0.28881733
5,,r_0006,"1,6-beta-glucan synthase",UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c],,YGR143W or YPR159W,,,,,pmid/8321211;sbo/SBO:0000176,,,,8321211,3.0,0.044587534000000005,0.09649881099999999
6,,r_0007,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c] => 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c],5.3.1.16,YIL020C,,,,,kegg.reaction/R04640;metanetx.reaction/MNXR103169;sbo/SBO:0000176,sce00340  Histidine metabolism;sce01110  Biosynthesis of secondary metabolites;sce01230  Biosynthesis of amino acids,,,,2.0,0.013577668999999999,0.029385542
7,,r_0012,1-pyrroline-5-carboxylate dehydrogenase,1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m] <=> H+[m] + L-glutamate[m] + NADH[m],1.2.1.88,YHR037W,,,,,metanetx.reaction/MNXR102301;pmid/387737;sbo/SBO:0000176,"sce00250  Alanine, aspartate and glutamate metabolism;sce00330  Arginine and proline metabolism",,,387737,3.0,0.0,0.0
8,,r_0013,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction","5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c] => 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]",1.13.11.54; 3.1.3.77,YEL038W and YMR009W,,,,,pmid/14506228;sbo/SBO:0000176,sce00270  Cysteine and methionine metabolism,,,14506228,3.0,0.0,0.0
9,,r_0014,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase","2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]",3.5.4.26; 5.4.99.28,YOL066C,,,,,metanetx.reaction/MNXR112805;pmid/9068650;sbo/SBO:0000176,sce00740  Riboflavin metabolism,,,9068650,3.0,0.00017828477,0.00038585377
10,,r_0015,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)","2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]",1.1.1.302,YBR153W,,,,,kegg.reaction/R09376;metanetx.reaction/MNXR112804;pmid/9068650;sbo/SBO:0000176,sce00740  Riboflavin metabolism,,,9068650,3.0,0.00017828477,0.00038585377
11,,r_0016,2-aceto-2-hydroxybutanoate synthase,2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m],2.2.1.6,(YCL009C and YMR108W) or YMR108W,,,,,kegg.reaction/R08648;metanetx.reaction/MNXR95260;pmid/8972574;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce00650  Butanoate metabolism;sce00660  C5-Branched dibasic acid metabolism;sce00770  Pantothenate and CoA biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,8972574,3.0,0.0394633,0.085408661
12,,r_0017,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]",2.5.1.15; 2.7.6.3; 4.1.2.25,YNL256W,,,,,kegg.reaction/R03503;metanetx.reaction/MNXR100694;sbo/SBO:0000176,sce00790  Folate biosynthesis,,,,2.0,0.0,0.0
13,,r_0018,2-aminoadipate transaminase,2-oxoadipic acid[c] + L-glutamate[c] <=> 2-oxoglutarate[c] + L-2-aminoadipate[c],2.6.1.39; 2.6.1.57; 2.6.1.7,YER152C or YGL202W or YJL060W,,,,,kegg.reaction/R01939;metanetx.reaction/MNXR95160;pmid/10714900;pmid/19342587;sbo/SBO:0000176,"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00270  Cysteine and methionine metabolism;sce00300  Lysine biosynthesis;sce00350  Tyrosine metabolism;sce00360  Phenylalanine metabolism;sce00380  Tryptophan metabolism;sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,10714900; 19342587,3.0,0.058611292999999995,0.12684981
14,,r_0019,2-dehydropantoate 2-reductase,2-dehydropantoate[c] + H+[c] + NADPH[c] => (R)-pantoate[c] + NADP(+)[c],1.1.1.169,YHR063C,,,,,kegg.reaction/R02472;metanetx.reaction/MNXR97779;sbo/SBO:0000176,sce00770  Pantothenate and CoA biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.0,0.0
15,,r_0020,2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m],2.5.1.54,YDR035W or YBR249C,,,,,kegg.reaction/R01826;metanetx.reaction/MNXR97218;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,,2.0,0.055219856,0.11950987
16,,r_0021,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase","2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m] => 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m]",1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-,YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,,,,,kegg.reaction/R04983;metanetx.reaction/MNXR109269;pmid/15792955;sbo/SBO:0000176,sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,15792955,3.0,0.0,0.0
17,,r_0022,2-hexaprenyl-6-methoxyphenol monooxygenase,"2-hexaprenyl-6-methoxyphenol[m] + oxygen[m] => 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m]",1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-,YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,,,,,kegg.reaction/R04982;metanetx.reaction/MNXR109268;pmid/15792955;sbo/SBO:0000176,sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,15792955,3.0,0.0,0.0
18,,r_0023,2-isopropylmalate hydratase,2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c],4.2.1.33,YGL009C,,,,,kegg.reaction/R03968;metanetx.reaction/MNXR100826;pmid/3071717;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,3071717,3.0,-0.06070017,-0.13137067
19,,r_0024,2-isopropylmalate synthase,3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c],2.3.3.13,YNL104C or YOR108W,,,,,kegg.reaction/R01213;metanetx.reaction/MNXR100879;pmid/6090272;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce00620  Pyruvate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,6090272,3.0,0.0,0.0
20,,r_0025,2-isopropylmalate synthase,3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m],2.3.3.13,YNL104C,,,,,kegg.reaction/R01213;metanetx.reaction/MNXR100879;pmid/6090272;sbo/SBO:0000176,"sce00290  Valine, leucine and isoleucine biosynthesis;sce00620  Pyruvate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,6090272,3.0,0.06070017,0.13137067
21,,r_0026,2-keto-4-methylthiobutyrate transamination,4-methylthio-2-oxobutanoate[c] + L-glutamate[c] => 2-oxoglutarate[c] + L-methionine[c],,YHR208W or YJR148W or YGL202W or YHR137W,,,,,kegg.reaction/R07396;metanetx.reaction/MNXR95923;pmid/14506228;sbo/SBO:0000176,,,,14506228,3.0,0.0,0.0
22,,r_0027,2-methylcitrate dehydratase,"homocitrate[m] <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]",4.2.1.36,YDR234W,,,,,kegg.reaction/R03444;metanetx.reaction/MNXR108174;pmid/5908136;sbo/SBO:0000176,sce00300  Lysine biosynthesis;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids,,,5908136,3.0,0.058611292999999995,0.12684981
23,,r_0028,2-methylcitrate synthase,H2O[m] + oxaloacetate[m] + propionyl-CoA[m] => 2-methylcitrate[m] + coenzyme A[m] + H+[m],2.3.3.1,YPR001W,,,,,kegg.reaction/R00931;metanetx.reaction/MNXR101417;pmid/16332871;sbo/SBO:0000176,sce00020  Citrate cycle (TCA cycle);sce00630  Glyoxylate and dicarboxylate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids,,,16332871,3.0,0.0,0.0
24,,r_0029,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c],2.6.1.42,YJR148W,,,,,kegg.reaction/R01652;metanetx.reaction/MNXR102180;sbo/SBO:0000176,"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,,2.0,0.06070017,0.13137067
25,,r_0030,2-oxo-4-methyl-3-carboxypentanoate decarboxylation,(2S)-2-isopropyl-3-oxosuccinate[m] + H+[m] => 4-methyl-2-oxopentanoate[m] + carbon dioxide[m],2.6.1.42,YHR208W,,,,,kegg.reaction/R01652;metanetx.reaction/MNXR102180;sbo/SBO:0000176,"sce00270  Cysteine and methionine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00290  Valine, leucine and isoleucine biosynthesis;sce00770  Pantothenate and CoA biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01210  2-Oxocarboxylic acid metabolism;sce01230  Biosynthesis of amino acids",,,,2.0,0.0,0.0
26,,r_0032,"3',5'-bisphosphate nucleotidase","adenosine 3',5'-bismonophosphate[c] + H2O[c] => AMP[c] + phosphate[c]",3.1.3.7,YOL064C,,,,,kegg.reaction/R00188;metanetx.reaction/MNXR96321;pmid/7809627;sbo/SBO:0000176,sce00920  Sulfur metabolism;sce01130  Biosynthesis of antibiotics,,,7809627,3.0,0.011734761000000002,0.025397019
27,,r_0033,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic AMP[c] + H2O[c] => AMP[c] + H+[c]",3.1.4.17; 3.1.4.53,YGL248W or YOR360C,,,,,kegg.reaction/R00191;metanetx.reaction/MNXR95886;sbo/SBO:0000176,sce00230  Purine metabolism,,,,2.0,0.0,0.0
28,,r_0034,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic dAMP[c] + H2O[c] => dAMP[c] + H+[c]",3.1.4.53,YOR360C,,,,,metanetx.reaction/MNXR136084;sbo/SBO:0000176,sce00230  Purine metabolism,,,,2.0,0.0,0.0
29,,r_0035,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic IMP[c] + H2O[c] => H+[c] + IMP[c]",3.1.4.53,YOR360C,,,,,metanetx.reaction/MNXR136083;sbo/SBO:0000176,sce00230  Purine metabolism,,,,2.0,0.0,0.0
30,,r_0036,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic GMP[c] + H2O[c] => GMP[c] + H+[c]",3.1.4.53,YOR360C,,,,,kegg.reaction/R01234;metanetx.reaction/MNXR100078;sbo/SBO:0000176,sce00230  Purine metabolism,,,,2.0,0.0,0.0
31,,r_0037,"3',5'-cyclic-nucleotide phosphodiesterase","3',5'-cyclic CMP[c] + H2O[c] => CMP[c] + H+[c]",3.1.4.53,YOR360C,,,,,metanetx.reaction/MNXR136082;sbo/SBO:0000176,sce00230  Purine metabolism,,,,2.0,0.0,0.0
