Compound,Pathways of compound,ChEBI,Molecular-Weight,KEGG,Object ID
A-LGAL-HEX-1:5,,,,,A-LGAL-HEX-1:5
A-DGAL-HEX-1:4,,,,,A-DGAL-HEX-1:4
X-DGAL-HEX-1:5_6:A,,,,,X-DGAL-HEX-1:5_6:A
B-LGAL-HEX-1:5_6:D,,,,,B-LGAL-HEX-1:5_6:D
B-DGAL-HEX-1:5,,,,,B-DGAL-HEX-1:5
A-LGAL-HEX-1:5_6:D,,,,,A-LGAL-HEX-1:5_6:D
NICOTINAMIDE_RIBOSE,PWY3O-96 // PWY3O-4106,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15927'>15927</a>,255.25d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03150'>C03150</a>,NICOTINAMIDE_RIBOSE
O-UREIDOHOMOSERINE,,,177.16,,O-UREIDOHOMOSERINE
CPD-1091,PWY-5697 // PWY-5694 // ALLANTOINDEG-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57296'>57296</a>,133.083,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00603'>C00603</a>,CPD-1091
INDOLE_PYRUVATE,PWY-5081,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17640'>17640</a>,202.189,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00331'>C00331</a>,INDOLE_PYRUVATE
INDOLE_ACETALDEHYDE,PWY-5081,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18086'>18086</a>,159.187d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00637'>C00637</a>,INDOLE_ACETALDEHYDE
CPD-10723,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37720'>37720</a>,180.157,,CPD-10723
CPD-341,PWY-5081,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17890'>17890</a>,161.203,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00955'>C00955</a>,CPD-341
CPD-237,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16031'>16031</a>,174.202,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02693'>C02693</a>,CPD-237
5-HYDROXYINDOLE_ACETATE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62622'>62622</a>,190.178,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05635'>C05635</a>,5-HYDROXYINDOLE_ACETATE
5-HYDROXYINDOLE_ACETALDEHYDE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50157'>50157</a>,175.187,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05634'>C05634</a>,5-HYDROXYINDOLE_ACETALDEHYDE
O-ACETYLCARNITINE,PWY3O-4,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57589'>57589</a>,203.238d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02571'>C02571</a>,O-ACETYLCARNITINE
LINOLENIC_ACID,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32387'>32387</a>,277.426,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06427'>C06427</a>,LINOLENIC_ACID
5Z8Z11Z14Z17Z-EICOSAPENTAENOATE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58562'>58562</a>,301.448,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06428'>C06428</a>,5Z8Z11Z14Z17Z-EICOSAPENTAENOATE
CPD-3745,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61904'>61904</a>,125.119,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05123'>C05123</a>,CPD-3745
LINOLEIC_ACID,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30245'>30245</a>,279.442,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01595'>C01595</a>,LINOLEIC_ACID
CPD-8120,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71589'>71589</a>,305.479,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03242'>C03242</a>,CPD-8120
