NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
Cytochrome c [mitochondrion]	C40H40FeN6O6S2	-2	mitochondrion	C00524	CHEBI:83739	based on Rhea
Apocytochrome c [mitochondrion]	C6H10N2O2S2	0	mitochondrion	C02248	CHEBI:15697	based on Rhea
diacetyl [cytoplasm]	C4H6O2	0	cytoplasm	C00741	CHEBI:16583	based on metnx
(R)-acetoin [nucleus]	C4H8O2	0	nucleus	C00810	CHEBI:15686	based on metnx
diacetyl [nucleus]	C4H6O2	0	nucleus	C00741	CHEBI:16583	based on metnx
NADH [nucleus]	C21H27N7O14P2	-2	nucleus	C00004	CHEBI:57945	Present in yeast model
L-glutamyl-tRNA(Gln) [mitochondrion]	C20H28N6O13PR	0	mitochondrion	C06112	CHEBI:29165	based on kegg
L-glutamine [mitochondrion]	C5H10N2O3	0	mitochondrion	C00064	CHEBI:18050	based on chebi
Gln-tRNA(Gln) [mitochondrion]	C20H29N7O12PR	0	mitochondrion	C02282	CHEBI:29166	based on kegg
Met-Ala [vacuole]	C8H16N2O3S	0	vacuole		CHEBI:73610	based on chebi
ADP-D-ribose 1''-phosphate [cytoplasm]	C15H20N5O17P3	-4	cytoplasm		CHEBI:58753	based on chebi
ADP-ribose [cytoplasm]	C15H21N5O14P2	-2	cytoplasm	C00301	CHEBI:57967	Present in yeast model
quinone [cytoplasm]	C6H4O2	0	cytoplasm	C00472	CHEBI:16509	based on chebi
1,4-benzosemiquinone [cytoplasm]	C6H5O2	0	cytoplasm		CHEBI:17977	based on chebi
UDP-N-acetyl-alpha-D-glucosamine [endoplasmic reticulum]	C17H25N3O17P2	-2	endoplasmic reticulum	C00043	CHEBI:57705	Present in yeast model
N-Acetyl-D-glucosaminyldiphosphodolichol [endoplasmic reticulum]	C28H51NO12P2R	0	endoplasmic reticulum	C04500	CHEBI:18278	based on chebi
UDP [endoplasmic reticulum]	C9H11N2O12P2	-3	endoplasmic reticulum	C00015	CHEBI:58223	Present in yeast model
N,N'-Chitobiosyldiphosphodolichol [endoplasmic reticulum]	C36H64N2O17P2R	0	endoplasmic reticulum			based on kegg, G00002
D-ribofuranose 5-phosphate [cytoplasm]	C5H9O8P	-2	cytoplasm		CHEBI:78346	based on chebi
Oxalate [peroxisome]	C2O4	-2	peroxisome	C00209	CHEBI:30623	based on metnx
Oxalyl-CoA [peroxisome]	C23H31N7O19P3S	-5	peroxisome	C00313	CHEBI:57388	based on chebi
G00171 [endoplasmic reticulum]	C86H142N4O67R	0	endoplasmic reticulum			based on kegg, G00171
D-glucose [endoplasmic reticulum]	C6H12O6	0	endoplasmic reticulum	C00031	CHEBI:4167	based on metnx
G00010 [endoplasmic reticulum]	C80H132N4O62R	0	endoplasmic reticulum			based on kegg, G00010
G00011 [endoplasmic reticulum]	C74H122N4O57R	0	endoplasmic reticulum			based on kegg, G00011
sodium [vacuole]	Na	1	vacuole	C01330	CHEBI:29101	based on metnx
potassium [vacuole]	K	1	vacuole	C00238	CHEBI:29103	based on metnx
chloride [vacuole]	Cl	-1	vacuole	C00698	CHEBI:17996	based on metnx
chloride [cytoplasm]	Cl	-1	cytoplasm	C00698	CHEBI:17996	based on metnx
D-fructose [vacuole]	C6H12O6	0	vacuole	C00095	CHEBI:15824	based on chebi
D-galactose [vacuole]	C6H12O6	0	vacuole	C00124	CHEBI:4139	based on chebi
UMP [endoplasmic reticulum]	C9H11N2O9P	-2	endoplasmic reticulum	C00105	CHEBI:57865	Present in yeast model
cadmium(2+) [cytoplasm]	Cd	2	cytoplasm		CHEBI:48775	based on chebi
cadmium(2+) [extracellular]	Cd	2	extracellular		CHEBI:48775	based on chebi
(sulfur carrier)-H [mitochondrion]	R	0	mitochondrion			General type
L-cysteine [mitochondrion]	C3H7NO2S	0	mitochondrion	C00097	CHEBI:17561	based on chebi
(sulfur carrier)-SH [mitochondrion]	SR	0	mitochondrion			General type
cholesterol [endoplasmic reticulum]	C27H46O	0	endoplasmic reticulum	C00187	CHEBI:16113	based on metnx
cholesterol [endoplasmic reticulum membrane]	C27H46O	0	endoplasmic reticulum membrane	C00187	CHEBI:16113	based on metnx
3-chlorobenzyl alcohol [cytoplasm]	C7H7ClO	0	cytoplasm			PubChem CID, 70117
3-chlorobenzaldehyde [cytoplasm]	C7H5ClO	0	cytoplasm			PubChem CID, 70117
3-hydroxybenzyl alcohol [cytoplasm]	C7H8O2	0	cytoplasm	C03351	CHEBI:17069	based on metnx
3-hydroxybenzaldehyde [cytoplasm]	C7H6O2	0	cytoplasm	C03067	CHEBI:16207	based on metnx
3-methylbenzyl alcohol [cytoplasm]	C8H10O	0	cytoplasm	C07216	CHEBI:27995	based on metnx
3-methylbenzaldehyde [cytoplasm]	C8H8O	0	cytoplasm	C07209	CHEBI:28476	based on metnx
4-isopropylbenzyl alcohol [cytoplasm]	C10H14O	0	cytoplasm		CHEBI:27628	based on chebi
p-cumic aldehyde [cytoplasm]	C10H12O	0	cytoplasm	C06577	CHEBI:28671	based on metnx
4-methylbenzyl alcohol [cytoplasm]	C8H10O	0	cytoplasm	C06757	CHEBI:1895	based on metnx
4-methylbenzaldehyde [cytoplasm]	C8H8O	0	cytoplasm	C06758	CHEBI:28617	based on metnx
benzyl alcohol [cytoplasm]	C7H8O	0	cytoplasm	C00556	CHEBI:17987	based on metnx
benzaldehyde [cytoplasm]	C7H6O	0	cytoplasm	C00261	CHEBI:17169	based on metnx
Mn(2+) [cytoplasm]	Mn	2	cytoplasm	C19610	CHEBI:29035	based on chebi
Mn(2+) [endoplasmic reticulum]	Mn	2	endoplasmic reticulum	C19610	CHEBI:29035	based on chebi
[protein]-L-lysine [cytoplasm]	C6H13N2O	1	cytoplasm	C02188	CHEBI:29969	based on Rhea and chebi
[protein]-N(6)-acetyl-L-lysine [cytoplasm]	C8H14N2O2	0	cytoplasm		CHEBI:61930	based on Rhea
Mannitol [cytoplasm]	C6H14O6	0	cytoplasm	C00392	CHEBI:16899	based on metnx
4-hydroxy-4-methyl-2-oxoglutarate [cytoplasm]	C6H6O6	-2	cytoplasm	C06033	CHEBI:58276	based on chebi and Rhea
L-methionine (S)-S-oxide [cytoplasm]	C5H11NO3S	0	cytoplasm	C15999	CHEBI:49031	based on chebi
tRNA(Pro) [mitochondrion]	R	-1	mitochondrion	C01649	CHEBI:29177	Present in yeast model
Pro-tRNA(Pro) [mitochondrion]	C5H8NOR	0	mitochondrion	C02702	CHEBI:29154	Present in yeast model
5-oxo-L-proline [cytoplasm]	C5H6NO3	-1	cytoplasm	C01879	CHEBI:58402	based on chebi
4a-Hydroxytetrahydrobiopterin [mitochondrion]	C9H15N5O4	0	mitochondrion	C15522	CHEBI:15642	based on metnx
Dihydrobiopterin [mitochondrion]	C9H13N5O3	0	mitochondrion	C00268	CHEBI:20680	based on metnx
superoxide [mitochondrion]	O2	-1	mitochondrion	C00704	CHEBI:18421	based on metnx
2-deoxy-D-glucose 6-phosphate [cytoplasm]	C6H11O8P	-2	cytoplasm	C06369	CHEBI:84760	based on chebi
2-deoxy-D-glucose [cytoplasm]	C6H12O5	0	cytoplasm	C00586	CHEBI:84755	based on chebi
[cytochrome c]-L-lysine [cytoplasm]	C6H13N2O	1	cytoplasm		CHEBI:29969	based on kegg and Rhea
[cytochrome c]-N6-methyl-L-lysine [cytoplasm]	C7H15N2O	1	cytoplasm		CHEBI:61929	based on kegg and Rhea
S-adenosyl-L-methionine [nucleus]	C15H23N6O5S	1	nucleus	C00019	CHEBI:67040	Present in yeast model
L-lysine-[histone] [nucleus]	C6H13N2OR2	1	nucleus		CHEBI:29969	General type, based on metanetx MNXM59465
S-adenosyl-L-homocysteine [nucleus]	C14H20N6O5S	0	nucleus	C00021	CHEBI:16680	based on chebi
N6-methyl-L-lysine-[histone] [nucleus]	C7H15N2OR2	1	nucleus		CHEBI:61929	General type, Histone N6-methyl-L-lysine, C03702, based on metanetx MNXM63025
Zn(2+) [cytoplasm]	Zn	2	cytoplasm	C00038	CHEBI:29105	based on metnx
