rxnID	rev	GPR	rxn_name_seed	EC	rxnID_kegg	Source;reason
MNXR98598	1		glycerol 2-phosphate(2-) transport			bigg:EX_glyc2p_e;glycerol 2-phosphate(2-)_P Source
MNXR99852	0		Glycerol-2-phosphate phosphohydrolase	3.1.3.19	R01043	rhea:13105;glycerol 2-phosphate(2-)_P Source
MNXR136678	1		L-Threonine phosphate transport in via proton symport			seed:rxn11407;O-phospho-L-threonine_P Source
MNXR103332	0		acid phosphatase / phosphotransferase	3.1.3.-		rhea:30579;O-phospho-L-threonine_P Source
MNXR118732	0		alkaline phosphatase	3.1.3.-		metacyc:RXN-14512;guanosine 2'-monophosphate_P Source
Guanosine transport via proton symport	1		Guanosine transport via proton symport			NA;guanosine 2'-monophosphate_P Source
MNXR94936	0		Guanosine 3'-phosphate phosphohydrolase	3.1.3.6	R02148	rhea:27862;3'-GMP_P Source
Guanosine transport via proton symport(for 3'-GMP)	1		Guanosine transport via proton symport(for 3'-GMP)			NA;3'-GMP_P Source
MNXR94822	1		2-Phosphoglycolate transport in/out via proton symport			seed:rxn05473;2-phosphoglycolate_P Source
MNXR102543	0		2-phosphoglycolate phosphohydrolase	3.1.3.18	R01334	rhea:14369;2-phosphoglycolate_P Source
MNXR118734	0		alkaline phosphatase	3.1.3.-		rhea:37251;cysteamine S-phosphate_P Source
cysteamine S-phosphate transport via proton symport	1		cysteamine S-phosphate transport via proton symport			NA;cysteamine S-phosphate_P Source
MNXR107528	0		Cysteamine:oxygen oxidoreductase	1.13.11.19	R02467	rhea:14409;cysteamine S-phosphate_P Source
MNXR107116	0		hypotaurine:NAD+ oxidoreductase	1.8.1.3	R01681	rhea:17385;cysteamine S-phosphate_P Source
MNXR103594	1		2-aminobutanoate:2-oxoglutarate aminotransferase	2.6.1.42	R10991	bigg:RE2034C;2-aminobutanoate_N Source
2-aminobutyrate transport	1		2-aminobutyrate transport			NA;2-aminobutanoate_N Source
MNXR118730	0		alkaline phosphatase	3.1.3.-		rhea:37355;uridine 2'-phosphate_P Source
MNXR136675	1		Uridine 2'-phosphate transport in via proton symport			seed:rxn11403;uridine 2'-phosphate_P Source
MNXR94932	0		Uridine 3'-monophosphate phosphohydrolase	3.1.3.6	R01877	rhea:27890;3'-UMP_P Source
MNXR94982	1		3'-UMP transport in via proton symport			seed:rxn05480;3'-UMP_P Source
MNXR137072	1		Gly-Met transport via proton symport			seed:rxn12552;Gly-Met_N Source
MNXR123343	0		dipeptidase	3.4.13.18		rhea:37323;Gly-Met_N Source
MNXR111061	0		R07420		R07420	seed:rxn05129;N-phosphocreatine_P Source
N-phosphocreatine transport	1		N-phosphocreatine transport			NA;N-phosphocreatine_P Source
creatinine transport	1		creatinine transport			NA;N-phosphocreatine_P Source
MNXR95943	1		ATP:L-arginine Nomega-phosphotransferase	2.7.3.3	R00554	rhea:22940;N(omega)-phospho-L-arginine_P Source
MNXR95947	1		L-arginine phosphate transport in/out via proton symport			seed:rxn05502;N(omega)-phospho-L-arginine_P Source
